KEY,X,Y,LNPRICE,YEAR97,YEAR98,YEAR99,YEAR00,YEAR01,LNSURAREA,LNNT,NBATH,INSIDE,MONUM,GAS_NOCV,OPENFIRE,GARAGE,DETACHED,SEMIDETA,CORNER,TERRACED,APPARTME,URBATTR,P_ALLOCH,HIGHDS_KM,RAILDS_KM,DRAIL_10,DHIGH_10,SUMOPENHA,SUMAGRHA,SUMURBHA,SUMNATHA,SUMWAHA,DIST_LOCAL,DISTREG_KM,ViewOpenSpace,PresLocOpen25,PresLocOpen50,PresLocOpen100,ISNIEUWBOU
64747,137209,470189,11.59,0,1,0,0,0,4.32,1.39,1,4,0,0,0,0,0,0,0,0,1,0,6,4.93,3.81,0,1,1.0986,0,.7977,0,.3009,3.85,0,1,0,0,0,0
47810,139099,478784,12.8,0,0,0,0,1,5.83,1.79,1,3,0,0,0,1,0,1,0,0,0,.1054,10,1.04,1.83,0,0,1.7541,0,1.0385,0,.7156,3.95,0,1,0,0,0,0
44648,145501,480156,11.92,0,0,1,0,0,4.32,1.1,1,4,0,0,0,1,0,0,0,0,1,0,0,3.47,6.97,0,0,.5167,0,0,0,.5167,4.07,.49,1,0,0,0,0
60766,146234,471649,12.62,1,0,0,0,0,5.55,1.61,0,4,0,0,1,1,1,0,0,0,0,0,2,.91,3.11,0,0,2.8582,2.8582,0,0,0,4.08,0,1,0,0,0,0
44664,145661,480134,11.66,0,1,0,0,0,4.25,1.1,1,4,0,0,0,0,0,0,0,0,1,0,6,3.38,7.1,0,0,1.1014,0,0,0,1.1014,4.1,.65,1,0,0,0,0
64325,139447,470402,13.55,0,0,1,0,0,6.54,2.3,2,4,0,0,0,1,1,0,0,0,0,.2108,3,3.12,1.63,0,0,1.2643,0,.985,0,.2793,4.13,.47,1,0,0,0,0
44654,145590,480144,11.87,0,0,1,0,0,4.25,1.1,2,4,0,0,0,0,0,0,0,0,1,0,6,3.42,7.04,0,0,.9157,0,0,0,.9157,4.24,.57,1,0,0,0,0
44651,145568,480147,12.08,0,0,0,1,0,4.25,1.1,1,5,0,0,0,0,0,0,0,0,1,0,6,3.43,7.02,0,0,.8158,0,0,0,.8158,4.31,.55,1,0,0,0,0
44652,145568,480147,11.62,1,0,0,0,0,4.32,1.1,0,4,0,0,0,0,0,0,0,0,1,0,6,3.43,7.02,0,0,.8158,0,0,0,.8158,4.31,.55,1,0,0,0,0
54239,142866,475692,13.81,0,1,0,0,0,7.9,1.79,3,4,0,0,1,1,1,0,0,0,0,0,2,.42,3.21,0,0,1.4843,0,0,1.4843,0,4.33,0,1,0,0,0,0
54238,142866,475692,13.58,1,0,0,0,0,7.9,1.79,2,5,0,0,0,1,1,0,0,0,0,0,2,.42,3.21,0,0,1.4843,0,0,1.4843,0,4.33,0,1,0,0,0,0
64758,137130,470158,12.56,0,0,1,0,0,5.69,1.39,1,4,0,0,0,1,0,1,0,0,0,0,6,4.98,3.89,0,1,.8836,0,.8191,0,.0645,4.36,0,1,0,0,0,0
64772,137045,470123,13.11,0,0,0,0,1,5.75,1.1,1,5,0,0,0,0,0,1,0,0,0,0,6,5.03,3.98,0,1,1.6663,.2625,1.4038,0,0,4.38,.01,1,0,0,0,0
